language,mode,version,framework,framework_flavor,framework_version,concurrency,path,rps_median,rps_p99,latency_median,latency_p99,memory_median,memory_p99,errors
Dart,AOT,3.2,HttpServer,Default,1,32,dart/httpserver-aot-2.14,6955,6834,4084,15314,16882073,19021168,0
Dart,AOT,3.2,Shelf,Default,1,32,dart/shelf-1-aot-2.14,5674,5540,4934,17657,16378757,18454937,0
Go,Default,1.21,Gin,Default,1,4,go/gin-1-go-1.21,3060,3000,690,42709,11251220,12656312,0
Java,Temurin,21,Spring Boot,MVC,3.2,32,java/springboot-3.2-mvc-temurin-21,6867,6117,2409,47668,180145356,180984217,0
Java,Temurin,21,Spring Boot,WebFlux,3.2,32,java/springboot-3.2-webflux-temurin-21,8872,8190,1872,47979,198076006,198600294,0
JavaScript,Node.js,12,Express,Default,4,32,javascript/express-4-nodejs-12,4043,3979,6356,31029,62725816,64969768,0
JavaScript,Node.js,14,Express,Default,4,32,javascript/express-4-nodejs-12,4113,4027,6299,29747,60995665,71523368,0
JavaScript,Node.js,16,Express,Default,4,32,javascript/express-4-nodejs-12,3947,3850,6620,29769,60848865,70558679,0
JavaScript,Node.js,18,Express,Default,4,32,javascript/express-4-nodejs-12,4039,3959,6427,29179,71355596,84431339,0
JavaScript,Node.js,20,Express,Default,4,32,javascript/express-4-nodejs-12,7151,6712,4298,9666,68136468,79073116,0
Kotlin,Temurin,21,Ktor,Netty,2,4,kotlin/ktor-2-netty-temurin-21,334,298,2898,72245,153930956,157076684,0
PHP,Default,8.3,Symfony,Default,6.4,2,php/symfony-6.4-php-8.3,70,67,15064,68593,33072087,33533460,0
Python,Default,3.8,Django,Development Server,4.2,32,python/django-4.2-devserver-python-3.8,779,724,30601,107509,83634421,84567654,0
Python,Default,3.8,Django,Gunicorn,4.2,32,python/django-4.2-gunicorn-python-3.8,349,123,14415,332728,147954073,148897792,0
Python,Default,3.8,Django,Uvicorn,4.2,32,python/django-4.2-uvicorn-python-3.8,270,265,107429,256233,55595499,56014929,0
Python,Default,3.8,FastAPI,Uvicorn,0.108,32,python/fastapi-0.108-uvicorn-python-3.8,997,982,22156,173699,48066723,48119152,0
Python,Default,3.8,Flask,Development Server,2.3,32,python/flask-2.3-devserver-python-3.8,544,405,37182,393857,31100764,31530680,0
Python,Default,3.8,Flask,Gunicorn,2.3,32,python/flask-2.3-gunicorn-python-3.8,132,122,12651,335264,97150566,97475624,0
Python,Default,3.9,Django,Development Server,4.2,32,python/django-4.2-devserver-python-3.8,799,783,29593,97075,88132812,89118474,0
Python,Default,3.9,FastAPI,Uvicorn,0.108,32,python/fastapi-0.108-uvicorn-python-3.8,1013,970,21676,176305,56308531,56528732,0
Python,Default,3.10,Django,Development Server,4.2,32,python/django-4.2-devserver-python-3.8,860,844,26994,95026,85679144,86738206,0
Python,Default,3.10,FastAPI,Uvicorn,0.108,32,python/fastapi-0.108-uvicorn-python-3.8,1111,1058,19869,160720,54431580,54473523,0
Python,Default,3.11,Django,Development Server,4.2,32,python/django-4.2-devserver-python-3.8,911,869,24167,94868,93868523,94445240,0
Python,Default,3.11,FastAPI,Uvicorn,0.108,32,python/fastapi-0.108-uvicorn-python-3.8,1354,1288,16525,100074,58028195,58174996,0
Python,Default,3.12,Django,Development Server,4.2,32,python/django-4.2-devserver-python-3.8,951,870,23242,92202,92316631,92809461,0
Python,Default,3.12,FastAPI,Uvicorn,0.108,32,python/fastapi-0.108-uvicorn-python-3.8,1421,1359,19004,73070,54410608,54546923,0
Rust,Default,1.74,Actix,Default,4,32,rust/actix-4-rust-1.74,13479,12131,2267,4748,7946108,8077180,0
Rust,Default,1.74,Axum,Default,0.7,32,rust/axum-0.7-rust-1.74,12460,11580,2495,5014,6602883,6738149,0
